Name,10 wickets in match,100s/50s,2001–2005,2001–2007,2006–,5 wickets in innings,allegiance,alma mater,awards,balls bowled,based in,batting,batting average,battles/wars,best bowling,born,bowling,bowling average,cabinet,catches/stumpings,cause of death,children,citizenship,civilian awards,commands,committees,competition,current team,date of birth,died,domestic partner,education,event(s),father,full name,known for,last odi,last test,matches,military awards,mother,national side,nationality,net worth,nickname(s),notable award(s),notable awards,occupation,odi debut (cap 60),other politicalaffiliations,parents,place of birth,playing position,political party,predecessor,profession,rank,relations,relatives,religion,residence,resting place,runs scored,salary,service/branch,sport,spouse(s),test debut (cap 107),top score,unit,website,wickets,years,years of service
BenazirBhutto,,,,,,,,harvard universityuniversity of oxford,,,,,,,,(1953-06-21)21 june 1953karachi| sindh| pakistan,,,,,assassination,bilawalbakhtawaraseefa,,,,,,,,27 december 2007(2007-12-27) (aged 54)rawalpindi| punjab| pakistan,,,,,,,,,,,,,pakistani,,,,,,,,zulfikar ali bhutto (father)nusrat bhutto (mother),,,pakistan peoples party,,,,bhutto familyzardari family,,,,bhutto family mausoleum,,,,,asif ali zardari (m. 1987),,,,,,,
BilalAkbarKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
BilalFarooqTarar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
BrahumdaghBugti,,,,,,,,sibi,,,,,,,, (1982-10-08) october 8| 1982 (age 36)dera bugti| balochistan| pakistan,,,,,,,,,,,,,,,,,,,,baloch nationalist leader,,,,,,,,,,,,,,,,,,baloch republican party,,,,,,,,,,,,,,,,,balochrepublicanparty.com,,,
BushraAnjumButt,,,,,,,,,,,,,,,, (1981-07-17) 17 july 1981 (age 37)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
BushraRind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,balochistan awami party,,,,,,,,,,,,,,,,,,,,
ChaudharyIftikharAhmedWarsi,,,,,,,,,,,,,,,, (1954-06-29) 29 june 1954 (age 64),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (nawaz),,,,,,,,,,,,,,,,,,,,
ChaudharyKhalidJaved,,,,,,,,,,,,,,,, (1962-05-01) 1 may 1962 (age 56),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
ChaudharySajidMehmood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
ChaudharyTanvirKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
ChaudhryAbidRaza,,,,,,,,,,,,,,,, (1957-04-05) 5 april 1957 (age 61),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
ChaudhryArshadJavaidWarraich,,,,,,,,,,,,,,,, (1956-12-13) 13 december 1956 (age 61),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (nawaz),,,,,,,,,,,,,,,,,,,,
ChaudhryAsifMajeed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
ChaudhryHussainElahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chaudhry wajahat hussain[1],,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (q),,,,,,,,,,,,,,,,,,,,
ChaudhryIftikharNazir,,,,,,,,,,,,,,,, (1956-06-10) 10 june 1956 (age 62),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
ChaudhryIjazAhmed,,,,,,,,,,,,,,,, (1940-12-15) 15 december 1940 (age 77)jabal village zafarwal| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChaudhryJaffarIqbal,,,,,,,,,,,,,,,, (1972-09-02) 2 september 1972 (age 46),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
ChaudhryLiaqatAli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
ChaudhryNadeemAbbas,,,,,,,,,,,,,,,, (1970-12-16) 16 december 1970 (age 47)okara| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
ChaudhryNaveedAshraf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
ChaudhryRazaNasrullahGhumman,,,,,,,,,,,,,,,, (1958-03-10) 10 march 1958 (age 60)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChaudhryRiaz-ul-Haq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
ChaudhryYasinSohal,,,,,,,,,,,,,,,, (1965-09-06) 6 september 1965 (age 53)vehari,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
ChoudharyKhushAkhtarSubhani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
DaneshKumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,balochistan awami party,,,,,,,,,,,,,,,,,,,,
DostMuhammadKhosa,,,,,,,,,,,,,,,,22 october 1973bahadurgarh,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan muslim league (n) (until 2018),,,,amjad farooq khan khosa (uncle),,,,,,,,,sapna khan,,,,,,,
DostMuhammadMazari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,balakh sher mazari (grandfather)[1],,,,,,,,,,,,,,,,
EjazKhan,,,,,,,,,,,,,,,, (1967-04-10) 10 april 1967 (age 51)rawalpindi,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
FahmidaMirza,,,,,,,,liaquat university,,,,,,,, (1956-12-20) 20 december 1956 (age 61)karachi| sindh| pakistan,,,,,,hasnain mirza (son),,,,,,,,,,,,qazi abdul majeed abid,,,,,,,,,,,,,,,,,,,,,,,,zafar hussain mirza (father-in-law),,,,,,,,,zulfiqar mirza,,,,,,,
FaisalAminKhanGandapur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,ali amin gandapur (brother)[1],,,,,,,,,,,,,,,,
FaisalJavedKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
FaisalSalehHayat,,,,,,,,,,,,,,,,21 july 1952lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
FaisalVawda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
FaisalZaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,politician,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
FaisalZeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,awami national party,,,,,,,,,,,,,,,,,,,,
FaizaMushtaq,,,,,,,,,,,,,,,, (1981-07-18) 18 july 1981 (age 37)mandi bahauddin,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
FaizUllahKamoka,,,,,,,,,,,,,,,, (1975-07-06) july 6| 1975 (age 43)faisalabad,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
FakharImam,,,,,,,,,,,,,,,, (1942-12-18) 18 december 1942 (age 75),,,,,,syeda sughra imam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan tehreek e insaf,,,,,,,,,,,,,abida hussain,,,,,,,
FarahAgha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
FarazDero,,,,,,,,,,,,,,,, (1980-04-02) 2 april 1980 (age 38)tando adam khan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
FarhatFarooq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
FarooqHaiderKhan,,,,,,,,,,,,,,,, (1955-02-14) 14 february 1955 (age 63)muzaffarabad| azad kashmir| pakistan,,,,,,madiha farooq usman farooq muhammad haider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,robina farooq,,,,,,,
FarooqLeghari,,,,,,,,,,,,,,,,sardar farooq ahmad khan leghari(1940-05-29)29 may 1940choti zareen| british india (now pakistan),,,,,,awaisjamal,,,,,,,,20 october 2010(2010-10-20) (aged 70)rawalpindi| pakistan,,forman christian collegest catherine's college| oxford,,,,,,,,,,,,,,,,,,,,,,pakistan people's party (before 1997)millat party (1997–2002)pakistan muslim league (q) (2002–2010),,,,,,,,,,,,,,,,,,,,
FarooqNaek,,,,,,,,university of karachi,,,,,,,, (1947-07-01) july 1| 1947 (age 71)sialkot| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
FarrukhHabib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
FaryalTalpur,,,,,,,,,,,,,,,, (1958-04-26) april 26| 1958 (age 60),,,,,,,,,,,,,,,,,,,,,,,,,,,,₨323.17 million (us$3.1 million)[1],,,,,,,hakim ali zardari,,,pakistan peoples party,,,,,asif zardari (brother)benazir bhutto (sister-in-law)azra peechoho (sister),,,,,,,,mir munawar ali,,,,,,,
FatehKhaliq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
FawadChaudhry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,chaudhry altaf hussain (uncle)[1]  chaudhry iftikhar hussain (uncle)[1]  chaudhry shahbaz hussain (uncle)[1],,,,,,,,,,,,,,,
FayazAliButt,,,,,,,,,,,,,,,, (1974-05-02) 2 may 1974 (age 44)mehar taluka,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
FayyazulHassanChohan,,,,,,,,,,,,,,,, (1970-05-21) may 21| 1970 (age 48)lahore| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
FazalAliShah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FazalIlahiChaudhry,,,,,,,,aligarh muslim universityuniversity of the punjab,,,,,,,,(1904-01-01)1 january 1904kharian| punjab| british india(now in punjab| pakistan),,,,,,,,,,,,,,2 june 1982(1982-06-02) (aged 78)lahore| punjab| pakistan,,,,,,,,,,,,,,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
FazalMuhammadKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
Fazal-ur-Rehman(politician),,,,,,,,,,,,,,,, (1953-06-19) 19 june 1953 (age 65)dera ismail khan| nwfp| pakistan,,,,,,asad mehmood (son)[1],,,,,,,,,,,,mufti mahmud,,,,,,,,,pakistani,₨7.7 million (us$73|000)[2],,,,,,muttahida majlis-e-amal (mma) (2002–2008),,,,jamiat ulema-e-islam (f),,,,,maulana lutf ur rehman (brother)atta-ur-rehman (brother),,,,,,,,,,,,,,,
FazleShakoorKhan,,,,,,,,,,,,,,,, (1976-02-01) 1 february 1976 (age 42)charsadda,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,politician,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
FidaMohammadKhan,,,,,,,,edwardes college (ba)aligarh muslim university(llb),,,,,,,,fida mohammad khan(1919-11-24)24 november 1919[1]peshawar| north-west frontier province| british indian empire,,,,,,,british subject (1919–1947)pakistan (1947–2007),,,,,,,december 20| 2007(2007-12-20) (aged 88)[1]peshawar| kpk| pakistan,,,,,,,,,,,,,pakistan,,,,,,,all-india muslim league (1939–1947)muslim league (1947–1958)pakistan muslim league (1962–1988),,,,pakistan muslim league (n) (1988–2007),,,,,,,peshawar| pakistan,,,,,,,,,,,,,
FirdousRahna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
GhanwerAliKhanIsran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
GhazaliSaleemButt,,,,,,,,,,,,,,,, (1959-03-19) 19 march 1959 (age 59)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (nawaz),,,,,,,,,,,,,,,,,,,,
GhazanfarAliKhan,,,,,,,,,,,,,,,,(1895-08-16)16 august 1895[1][2]pind dadan khan| jhelum district| punjab| british india,,,,,,,,,,,,,,1963 (aged 67–68)[1][2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GhousMuhammadKhanNiazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
GhulamAbidKhan,,,,,,,,,,,,,,,, (1972-10-01) 1 october 1972 (age 46)kandhkot,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
GhulamAliAsgharKhanLahry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
GhulamBibiBharwana,,,,,,,,,,,,,,,, (1977-05-05) 5 may 1977 (age 41),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
GhulamJellani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida qaumi movement,,,,,,,,,,,,,,,,,,,,
GhulamMurtazaBaloch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
GhulamMustafaJatoi,,,,,,,,university of cambridge,,,,,,,,(1931-08-14)14 august 1931new jatoi| bombay presidency| british india(now shaheed benazir abad district| sindh| pakistan),,,,,,arif mustafa jatoi (son),,,,,,,,20 november 2009(2009-11-20) (aged 78)london| england| united kingdom,,,,,,,,,,,,,,,,,,,,,,,,pakistan peoples party (before 1986)national peoples party (1986–2009),,,,,,,,,,,,,,,,,,,,
GhulamQadirChandio,,,,,,,,,,,,,,,, (1959-10-15) 15 october 1959 (age 59),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
GianChand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
GiyanooMal,,,,,,,,,,,,,,,, (1960-01-01) 1 january 1960 (age 58),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
G.M.Syed,,,,,,,,,friends of liberation war honour[3],,,,,,,(1904-01-17)17 january 1904sann| sindh| british india (now pakistan),,,,,,syed amir hyder shah| syed imdad muhammad shah| zarin taj| shama aimen and dr. durreshahwar,,,,,,,,(1995-04-25)25 april 1995 (age 91)karachi,,,,,,sindhi nationalism| sufism| history| and islamic philosophy,,,,,,,,,,,,,,,syed mohammed shah kazmi,,,,,,,,,,,sann,,,,,,,,,,,,
GoharAliShah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,politician,,,,,,awami national party,,,,,,,,,,,,,,,,,,,,
GohramBugti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,jamhoori wattan party,,,,,,,,,,,,,,,,,,,,
GulBashra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakhtunkhwa milli awami party,,,,,,,,,,,,,,,,,,,,
GulDadKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
GulnazShahzadi,,,,,,,,,,,,,,,, (1968-04-18) 18 april 1968 (age 50)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
GulraizAfzalGondal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
GulZafarKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
GulzarAhmed,,,,,,,,,,,,,,,, (1957-02-02) 2 february 1957 (age 61)karachi| sindh| pakistan,,,,,,,,,,,,,,,,,,noor muhammad,,,,,,,,, pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HafizAmmarYasir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (q),,,,,,,,,,,,,,,,,,,,
HafizHafeezurRehman,,,,,,,,,,,,,,,,hafeez ur rehman (1971-09-23) 23 september 1971 (age 47)[citation needed]gilgit| gilgit-baltistan| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,politician,,,,,,pakistan muslim league (n) (pml-n),,,,,,,chief minister house| gilgit baltistan(official),,,,,,,,,,,,,
HaiderAliKhan,,,,,,,,,,,,,,,, (1964-03-17) 17 march 1964 (age 54)swat district,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
HajiMominKhanAfridi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,nasir khan afridi (brother),,,,,,,,,,,,,,,
HaleemAdilSheikh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
HamidYarHiraj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HammadAzhar,,,,,,,,,,,,,,,,1981/1982 (age 36–37)[1],,,,,,,,,,,,,,,,,,mian muhammad azhar,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
HamzaShahbazSharif,,,,,,,,,,,,,,,, (1974-09-06) 6 september 1974 (age 44)[1],,,,,,,,,,,,,,,,,,shehbaz sharif[2],,,,,,,,,pakistani,est. ₨411 million (us$3.9 million) (ecp 2018)[3],,,,,,,,,,pakistan muslim league (n),,,,,see sharif family,,,,,,,,mehrunissah hamza  rabia hamza (m. 2012),,,,,,,
HaroonImranGill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
HaseenaBegum,,,,,,,,,,,,,,,, (1961-01-01) 1 january 1961 (age 57)bahawalpur| punjab| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
HashimJawanBakht,,,,,,,,,,,,,,,, (1979-09-27) 27 september 1979 (age 39),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,khusro bakhtiar (brother)[1],,,,,,,,,,,,,,,
HasilBizenjo,,,,,,,,,,,,,,,, (1958-02-03) 3 february 1958 (age 60)[1],,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,ghaus bakhsh bizenjo (father),,,national party of pakistan,,,,,,,,,,,,,,,,,,,,
HeerSoho,,,,,,,,,,,,,,,, (1975-09-26) 26 september 1975 (age 43)mirpur bathoro,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HidayatUllah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
HinaDastagir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
HinaPervaizButt,,,,,,,,,,,,,,,, (1982-01-19) 19 january 1982 (age 36)lahore| punjab| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
HizbullahBughio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
HumairaKhatoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida majlis-e-amal,,,,,,,,,,,,,,,,,,,,
"IjazAhmed(cricketer,born1968)",1/9,12/12,,,,–,,,,180.0,,right-hand bat,37.67,,45/-, (1968-09-20) 20 september 1968 (age 50)sialkot| punjab| pakistan,left-arm medium,38.5,,source: cricinfo| 4 february 2006,,,,,,,"

competition
tests
odis

matches
60
250

runs scored
3315
6564

batting average
37.67
32.33

100s/50s
12/12
10/37

top score
211
139*

balls bowled
180
637

wickets
2
5

bowling average
38.50
95.20

5 wickets in innings
–
–

10 wickets in match
–
n/a

best bowling
1/9
2/31

catches/stumpings
45/-
90/-",,,,,,,,ijaz ahmed,,11 october 2000 v new zealand,27 march 2001 v new zealand,60.0,,,pakistan (1986-2003),,,,,,,14 november 1986 v west indies,,,,,,,,,,,,,,3315.0,,,,,3 february 1987 v india,211.0,,,2.0,,
IjazMasih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
ImamuddinShouqeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
ImdadAliPitafi,,,,,,,,,,,,,,,, (1974-01-01) 1 january 1974 (age 44)tando allahyar,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
ImranAliShah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
ImranKhalidButt,,,,,,,,,,,,,,,, (1977-07-03) 3 july 1977 (age 41)gujranwala,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
ImranKhan,,,,,,,,,hilal-e-imtiaz  1992                  pride of performance  1983                  ,,,,,,,imran ahmed khan niazi (1952-10-05) 5 october 1952 (age 66)lahore| pakistan,,,,,,3,,,,,,,,,emma sergeant (1982–1986)[1]sita white (c. 1987–1991)[2][3],keble college| oxford(b.a. (hons.) in ppe),,,,,,,,,,,,₨1.4 billion (us$13 million)[5],kaptaan[6][7],,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,₨1.68 million (us$16|000)[4],,,jemima goldsmith(m. 1995; div. 2004)reham khan(m. 2015; div. 2015)bushra bibi (m. 2018),,,,,,,
ImranKhattak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,pervez khattak (father in law and uncle),,,,,,,,,,,,,,,
ImtiazAhmedShaikh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
IrshadHasanKhan,,,,,,,,university of the punjab,,,,,,,, (1937-01-07) 7 january 1937 (age 81)lahore| british raj(now pakistan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
