Name,1969–1972,1972–1988,1974–1986,1980–1992,1983–1985,1984–1999,1985–1988,1988–1990,1990–1992,1991,1992–1995,1993–1996,1995,1995–1998,1995–2000,1997–1998,1997–1999,2000–2001,2000–2003,2002–2004,2003–2004,2004–2008,2005–2006,2006,2006–2008,2008–2010,2010–2018,2011–2012,2018–,allegiance,alma mater,awards,battles/wars,born,cabinet,children,citizenship,combined total,commands,country represented,current team,date of birth,denomination,died,domestic partner,education,ethnicity,father,former choreographer,former coach,free skate,full name,height,house,known for,mother,nationality,net worth,nickname(s),number,occupation,ordination,other politicalaffiliations,parents,place of birth,playing position,political party,positions,previous post,previous post,profession,rank,relations,relatives,religion,residence,resting place,retired,salary,service/branch,short program,skating club,spouse(s),total,unit,website,years,years of service,years active
CyrusWoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lafayette collegeuniversity of pennsylvania law school,,,(1861-09-03)september 3| 1861philadelphia| pennsylvania,,,,,,,,,,december 8| 1938(1938-12-08) (aged 77)clearfield| pennsylvania,,,,,,,,,,,,,,,,,,,,,,,republican,,,,attorney| politician| diplomat,,,,,,,,,,,,mary todd marchand,,,,,,
DanielBacquelaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1952-10-30) october 30| 1952 (age 66)liège| belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DannyFaure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1962-05-08) 8 may 1962 (age 56)kilembe| uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people's party,,,,,,,,,,,,,,,,jeanine faure (div. 2016)[1],,,,,,
DarrellSteinberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of california| los angeles (ba)university of california| davis (jd),,,darrell steven steinberg (1959-10-15) october 15| 1959 (age 59)san francisco| california| u.s.,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,julie steinberg,,,,,,
DavidBriley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clifton david briley (1964-01-08) january 8| 1964 (age 54)nashville| tennessee| u.s.,,1,,,,,,,,,,georgetown university (ba)golden gate university (jd),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,jodie bell,,,official website,,,
DavidCicilline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david nicola cicilline (1961-07-15) july 15| 1961 (age 57)providence| rhode island| u.s.,,,,,,,,,,,,brown university (ba)georgetown university (jd),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,,,,house website,,,
DavidHolt(politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,george washington university| oklahoma city university,,, (1979-03-10) march 10| 1979 (age 39)oklahoma city| oklahoma| u.s.,,george| margaret,,,,,,,,,,,,,,,,,,,,,american,,,,private investment,,,,,,republican,,,,,,,,,oklahoma city| oklahoma,,,,,,,rachel canuso,,,campaign website,,,
DavidLidington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sidney sussex college| cambridge,,,david roy lidington (1956-06-30) 30 june 1956 (age 62)lambeth| london| england,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conservative,,,,,,,,,,,,,,,,helen parry (m. 1989),,,official website,,,
DayasiriJayasekara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mayurapada central college,,,j.p dayasiri jayasekara (1969-06-12) 12 june 1969 (age 49)panduwasnuwara| sri lanka,,kaveen jayasekara  gihansi jayasekara,sri lankan,,,,,,,,,,,,,,,,,,,,sinhalese,,,,politician,,,,,,sri lanka freedom party  (2013–)united national party  (2001–2013),,,,singer,,kithsiri jayasekara (singer),,,colombo,,,,,,,jayawanthi jayasekara,,,http://dayasirijayasekara.lk/pages/,,,
DeeMargo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,donald margo (1952-02-04) february 4| 1952 (age 66)oklahoma city| oklahoma| u.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,republican,,,,,,,,,,,,,,,,adair margo (m. 1976),,,government website,,,
DelbarNazari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958 (age 59–60)khulm| balkh province| afghanistan,,,,,,,,,,,,,uzbek,,,,,,,,,, afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesmondLee(Singaporeanpolitician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,national university of singaporeoxford university,,, (1976-07-15) july 15| 1976 (age 42),,,singapore,,,,,,,,,anglo-chinese school (junior)raffles institutionraffles junior college,,,,,,,,,,,,,,,,,,lee yock suan,,,people's action party (2011),,,,"lawyer
politician",,,,,,,,,,,,,,,,,,
DianeDodds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,queen's university belfast,,, (1958-08-16) 16 august 1958 (age 60)rathfriland| county down| northern ireland,,2,,,,,,,,,,,,,,,,,,,,,british,,,,,,,,,,democratic unionist party,,,,teacher,,,,,,,,,,,,nigel dodds,,,official website,,,
DidierDogley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cabinet minister,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DidierReynders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of liège,,, (1958-08-06) 6 august 1958 (age 60)liège| belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reformist movement,,,,,,,,,,,,,,,,,,,,,,
DonaldTrump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the wharton school (bs in econ.),list of honors and awards,,donald john trump (1946-06-14) june 14| 1946 (age 72)queens| new york city,,"
donald jr.
ivanka
eric
tiffany
barron
",,,,,,,,,,,,,,,,,,,,,,us$3.1 billion (march 2018)[a],,,,,"
democratic (until 1987| 2001–2009)
reform (1999–2001)
independent (2011–2012)
",fred trumpmary anne macleod,,,republican (1987–1999| 2009–2011| 2012–present),,,,politicianbusinessmanreal estate developer,,,trump family,,"
white house (official/primary)
trump natl. bedminster (summer)
mar-a-lago (winter)
trump tower (private/secondary)
",,,,,,,"
ivana zelníčková(m. 1977; div. 1992)
marla maples(m. 1993; div. 1999)
melania knauss (m. 2005)
",,,"
official website
white house website
presidential twitter
personal twitter
",,,
DorisLeuthard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of zurich,,, (1963-04-10) 10 april 1963 (age 55)merenschwand| switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian democratic people's party,,,,,,,,,,,,,,,,roland hausin,,,,,,
DouglasDevananda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jaffna central collegecolombo hindu college,,, (1957-11-10) 10 november 1957 (age 61),,,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,,,united people's freedom alliance,,,,eelam people's democratic party,,,,,,,,,121 park road| colombo 05| sri lanka,,,,,,,,,,www.douglasdevananda.org,,,
DumindaDissanayake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal college| colombo| central college anuradhapura,,, (1979-03-28) march 28| 1979 (age 39),,,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,politician,,united people's freedom alliance   (2004 - present)   people's alliance   (before 2004) ,,,,sri lanka freedom party,,,,,,,,,,,,,,,,,,,http://www.dumindadissanayake.org/,,,
ÉdouardPhilippe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,édouard charles philippe (1970-11-28) 28 november 1970 (age 48)rouen| france,,3,,,,,,,,,,sciences poécole nationale d'administration,,,,,,,,,,,,,,,,,,,,,socialist party (1990s)union for a popular movement (2002–2015)the republicans (2015–2018),,,,,,,,,hôtel matignon,,,,,,,edith chabre,,,,,,
EdwardYau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of hong kongoxford universityharvard university,,,1960 (age 57–58)british hong kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EklilAhmadHakimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polytechnical university of kabul,,,1968 (age 49–50)kabul| afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EleanorLaing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of edinburgh,,,eleanor fulton pritchard (1958-02-01) 1 february 1958 (age 60)paisley| renfrewshire| scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conservative,,,,,,,,,,,,,,,,alan laing (divorced 2002),,,,,,
ÉlisabethBorne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,école polytechniqueécole des ponts paristechcollège des ingénieurs,,, (1961-04-18) 18 april 1961 (age 57)paris| france,,,,,,,,,,,,,,,,,,,,,,,french,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EmazUddinPramanik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bangladesh awami league,,,,,,,,,,,,,,,,,,,,,,
EmileRoemer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emile gerardus maria roemer (1962-08-24) 24 august 1962 (age 56)boxmeer| netherlands,,2 daughters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,socialist party (from 1980),,,,,,,,,,,,,,,,aimée roemer (m. 1986),,,,,,
EricGarcetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, united states,,,,eric michael garcetti (1971-02-04) february 4| 1971 (age 47)los angeles| california| u.s.,,1 daughter,,,,,,,,,,columbia university (ba| mia)queen's college| oxfordlondon school of economics,,,,,,,,,,,,,,,,,,gil garcettisukey roth,,,democratic,,,,, lieutenant,,,,getty house,,,, united states navy,,,amy wakeland (m. 2009),,information dominance corpsu.s. navy reserve,government websitecampaign website,,2005–2013,
ÉricPiolle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1973-01-06) 6 january 1973 (age 45)pau| france,,,,,,,,,,,,,,,,,,,,,,,french,,,,,,,,,,europe ecology – the greens,,,,,,,,,,,,,,,,,,,,,,
EricSwalwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eric michael swalwell jr.[citation needed] (1980-11-16) november 16| 1980 (age 38)sac city| iowa| u.s.,,2,,,,,,,,,,campbell universityuniversity of maryland| college park (ba)university of maryland| baltimore (jd),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,brittany watts (m. 2016),,,housecampaign,,,
EricWiebes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delft university of technology  (bachelor of engineering| master of engineering)  european institute of business administration  (bachelor of business administration| master of business administration),,,eric derk wiebes (1963-03-12) 12 march 1963 (age 55)delft| netherlands,,2 children,,,,,,,,,,,,,,,,,,,,,dutch,,,,politician · civil servant · management consultant,,,,,,people's party for  freedom and democracy  (from 2005| 1983–1986),,,,,,,,,the hague| netherlands,,,,,,,hester bijl(m. 1996; div. 2013),,,(in english) minister of economic affairs and climate policy,,,
EugeneWamalwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of nairobi,,, (1969-04-01) april 1| 1969 (age 49)saboti| trans nzoia,,3,,,,,,,,,,,,,,,,,,,,,kenyan,,,,,,,,,,new ford–kenya,,,,,,michael wamalwa (brother)[1],,,,,,,,,,lucy musundi,,,,,,
FahdbinMahmoudalSaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940 (age 77–78),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent,,,,,,,,,,,,,,,,,,,,,,
FaisalNaseem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of birmingham (ba)cardiff metropolitan university (mba),,, (1973-07-20) 20 july 1973 (age 45)funaadu| fuvahmulah| maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,jumhooree party,,,,,,,,,,,,,,,,,,,,,,
FaisalVawda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,,,
FaiszerMusthapha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal college colombo,,, (1969-07-02) july 2| 1969 (age 49),,,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,,,united people's freedom alliance,,,,sri lanka freedom party  ceylon workers' congress,,,,attorney-at-law,,,,,,,,,,,,,,,,,,
FannyLaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of hong kongchinese university of hong kong,,, (1953-02-24) 24 february 1953 (age 65)[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,npp,,,,,,henry fan (brother),,,,,,,,,,law in-hong,,,,,,
FemkeHalsema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,utrecht university,,, (1966-04-25) 25 april 1966 (age 52)haarlem| netherlands,,,,,,,,,,,,,,,,,,,,,,,dutch,,,,,,,,,,groenlinks,,,,,,,,,amsterdam| netherlands,,,,,,,,,,official website,,,
FerdinandGrapperhaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of amsterdam  (bachelor of laws| master of laws| doctor of philosophy),,,ferdinand bernhard joseph grapperhaus (1959-11-08) 8 november 1959 (age 59)amsterdam| netherlands,,4,,,,,,,,,,,,,,,,,,,,,dutch,,,,politician · civil servant · jurist · lawyer · professor · author,,,,,,christian democratic appeal  (from 2001),,,,,,,,,amsterdam| netherlands,,,,,,,florentine riem vis(m. 1986; her death 2016),,,(in english) minister of justice and security,,,
FrancisHabgood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newcastle university  university of cambridge,,,francis john stapylton habgood (1964-11-19) 19 november 1964 (age 54),,,united kingdom,,,,,,,,,chorister school| durham  repton school,,,,,,,,,,,british,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FrancisX.Suarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,francis xavier suarez (1977-10-06) october 6| 1977 (age 41)miami| florida| u.s.,,,,,,,,,,,,florida international university (bs)university of florida (jd),,,,,,,,,,,,,,,,,,,,,republican,,,,,,,xavier suárez,,,,,,,,,,,,,,,
FrançoisBayrou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university bordeaux montaigne,,, (1951-05-25) 25 may 1951 (age 67)bordères| france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,union for french democracy(1979–2007)centre of social democrats(1979–1995)democratic force (1995–1998)democratic movement (2007–present),,,,,,,,,,,,,,,,,,,official website,,,
FrançoiseNyssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,université libre de bruxelles,,, (1951-06-09) 9 june 1951 (age 67)etterbeek| belgium,,,,,,,,,,,,,,,,,,,,,,,belgianfrench,,,,,,,hubert nyssenchristine le bœuf,,,,,,,,,,,,,,,,,,,,,,,,,
FrankChan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of hong konguniversity of aberdeen,,, (1958-02-04) 4 february 1958 (age 60)british hong kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FredMatiang'i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kenyatta university (ba)university of nairobi (ma)| (phd),,,borabu| nyamira district,,2,,,,,,,,,,,,,,,,,,,,,kenyan,,,,,,,,,,jubilee party,,,,,,,,seventh-day adventist[citation needed],,,,,,,,,,,,,,
GaminiLokuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ananda sastralaya| kotte,,, (1948-05-08) may 8| 1948 (age 70),,,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,politician,,united people's freedom alliance  (2007 –present)  united national front  (2000 – 2007),,,,upfa (jo)  (2007 –present),,,,businessman,,,,,,,,,,,,,,,,,,
GaminiVijithVijithamuniSoysa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,,,united people's freedom alliance,,,,sri lanka freedom party,,,,,,,,,,,,,,,,,,,,,,
GanKimYong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of cambridge,,, (1959-02-09) february 9| 1959 (age 59),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people's action party (2001),,,,,,,,,,,,,,,,,,,,,,
GaoJinsong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yunnan university,,,august 1963 (age 55)luxi county| yunnan,,,,,,,,,,,,,,,,,,,,,,,chinese,,,,politician,,,,,,communist party of china,,,,,,,,,kunming| yunnan,,,,,,,,,,,,,
GebranBassil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,american university of beirut,,, (1970-06-21) 21 june 1970 (age 48)batroun| lebanon,,,,,,,,,,,,,,,,,,,,,,,lebanese,,,,,,,,,,free patriotic movement,,,,,,,,,,,,,,,,,,,official website,,,
GéraldDarmanin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sciences po lille,,,gérald moussa darmanin (1982-10-11) 11 october 1982 (age 36)valenciennes| france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la république en marche ! (since 2017)the republicans (2015–17)union for a popular movement (before 2015),,,,jurist,,,,,,,,,,,,,,,,,,
GérardCollomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1947-06-20) 20 june 1947 (age 71)chalon-sur-saône| france,,,,,,,,,,,,university of lyon,,,,,,,,,,,,,,,,,,,,,socialist party,,,,,,,,,,,,,,,,,,,,,,
GérardLarcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1949-09-14) 14 september 1949 (age 69)flers| france,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rally for the republic (1976–2002)union for a popular movement (2002–2015)the republicans (2015–present),,,,veterinarian,,,,,,,,,,,,christine weiss,,,,,,
GhassanHasbani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lebanese government of december 2016,,,,,,,,,,,,,,,,,,,,,,lebanese | british,,,,,,,,,,lebanese forces,,,,,,,,,,,,,,,,,,,[1],,,
GithuMuigai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columbia university (ll.m)university of nairobi (phd)[1],,,,,three,,,,,,,,,,,,,,,,,,,,,kenyan,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,
GodefroidNiyombare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, burundi,,,, (1969-10-18) 18 october 1969 (age 49)[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,major general,,,,,,,,burundi army,,,,,,,,until 2015,
GraceFu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1964-03-29) 29 march 1964 (age 54)[1]singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people's action party,,,,,,,,,,,,,,,,ivan lee,,,,,,
GregFischer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vanderbilt university (ba),,, (1958-01-14) january 14| 1958 (age 60)louisville| kentucky| u.s.,,4,,,,,,,,,,,,,,,,,,,"founding servend international[2]
",,american,,,,inventor businessman/investor  politician,,,,,,democratic,,,,,,,,roman catholicism[4],,,,$118|000 (2017)[3],,,,alexandra gerassimides[1],,,,,,1983-present (business) 2008-present (politics)
G.T.Bynum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,george theron bynum iv (1977-08-28) august 28| 1977 (age 41)tulsa| oklahoma| u.s.,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,republican,,,,lobbyist,,,,,tulsa| oklahoma,,,,,,,susan,,,,,,
GuyParmelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1959-11-09) 9 november 1959 (age 59)bursins| switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swiss people's party,,,,,,,,,,,,,,,,,,,,,,
HaithambinTariqAlSaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,october 13| 1954muscat| oman,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HakeemJeffries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hakeem sekou jeffries (1970-08-04) august 4| 1970 (age 48)new york city| u.s.,,2,,,,,,,,,,binghamton university (ba)georgetown university (mpp)new york university (jd),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,leonard jeffries (uncle),,,,,,,,,kennisandra arciniegas,,,house website,,,
HalimahYacob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1954-08-23) 23 august 1954 (age 64)colony of singapore,,5,,,,,,,,,,national university of singapore (llb| llm),,,,,,,,,,,,,,,,,,,,,independentpeople's action party,,,,,,,,,,,,,,,,mohammed abdullah alhabshee,,,,,,
HamdanbinRashidAlMaktoum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1945-12-25) 25 december 1945 (age 72)bur dubai| dubai| trucial states,,sheikh rashid bin hamdan al maktoum,,,,,,,,,,,,sheikh rashid bin saeed al maktoum,,,,,,,,latifa bint hamdan al nahyan,emirati,,,,,,,,,,,,,,,,,,,,,,,,,,sheikha rodha bint ahmad bin juma al maktoum[1],,,,,,
HasanulHaqInu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bangladesh university of engineering and technology,,, (1946-11-12) 12 november 1946 (age 72)bheramara upazila| kushtia district| bengal presidency| british india,,,,,,,,,,,,,,,,,,,,,,,bangladeshi,,,,,,,,,,jatiya samajtantrik dal,,,,,,,,,,,,,,,,,,,,,,
HassanWario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of nairobi (ba)university of east anglia (phd),,, (1970-11-24) 24 november 1970 (age 48),,2,,,,,,,,,,,,,,,,,,,,,kenyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HengSweeKeat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raffles institutionchrist's college| cambridgeharvard university,,, (1961-11-01) 1 november 1961 (age 57)singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people's action party,,,,,,,,,,,,,,,,,,,,,,
HenryRotich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of nairobi (ba)| (ma)harvard kennedy school (mpa),,,c. 1969 (age 48–49),,2,,,,,,,,,,,,,,,,,,,,,kenyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HibatullahAkhundzada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
mujahideen
islamic and national revolution movement of afghanistan
taliban
",,,,1961 (age 56–57)[1]panjwayi| kandahar province| afghanistan[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,supreme commander,,,,,,,,,,,,,,,,1996–present,
HoraceCheung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,twgh yau tze tin memorial collegecity university of hong kong,,, (1974-06-30) june 30| 1974 (age 44)hong kong,,,,,,,,,,,,,,,,,,,,,,,,,,,solicitorpolitician,,,,,,democratic alliance for the betterment and progress of hong kong (dab),,,,,,,,,north point| hong kong,,,,,,,,,,,,,
HugodeJonge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hugo mattheüs de jonge (1977-09-26) 26 september 1977 (age 41)bruinisse| netherlands,,,,,,,,,,,,,,,,,,,,,,,dutch,,,,politician| civil servant,,,,,,christian democratic appeal,,,,,,,,,rotterdam| netherlands,,,,,,,,,,,,,
HusseinHajjHassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of orléans,,,1960 (age 57–58),,,,,,,,,,,,,,,,,,,,,,,lebanese,,,,,,,,,,hezbollah,,,,,,,,,,,,,,,,,,,,,,
IanBlackford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1961-05-14) 14 may 1961 (age 57)edinburgh| scotland,,,british,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scottish national party,,,,,,,,,,,,,,,,,,,official website,,,
IanHopkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,queen's police medal (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IanHudghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1951-09-19) 19 september 1951 (age 67)forfar| angus| scotland,,,,,,,,,,,,,,,,,,,,,,,scottish,,,,,,,,,,scottish national party,,,,,,,,,,,,,,,,,,,www.hudghtonmep.eu,,,
IbrahimMohamedSolih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1964-05-04) 4 may 1964 (age 54)hinnavaru island| lhaviyani atoll| maldives,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maldivian democratic party (after 2003),,,,,,,,,mulee'aage (official),,,,,,,fazna ahmed,,,,,,
IgnazioCassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of zürichuniversity of lausanne,,, (1961-04-13) 13 april 1961 (age 57)sessa| switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdp.the liberals,,,,,,,,,,,,,,,,paola cassis,,,,,,
IndraneeRajah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1963-04-12) 12 april 1963 (age 55),,,,,,,,,,,,,,,,,,,,,,,singapore,,,,,,,,,,people's action party (2001),,,,,,,,,,,,,,,,,,,,,,
IpKwok-him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,south china normal university (ba in geography),,, (1951-11-08) 8 november 1951 (age 67)british hong kong,,,,,,,,,,,,,,,,,,,,,,,hong kong chinese,,,,legislative councillor,,,,,,democratic alliance for the betterment and progress of hong kong,,,,,,,,,,,,,,,,lee ngan-yee,,,,,,
JacobFrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,college of william and maryvillanova university,,, (1981-07-23) july 23| 1981 (age 37)oakton| virginia| u.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,democratic-farmer-labor,,,,,,,,,minneapolis| minnesota| u.s.,,,,,,,sarah clarke,,,,,,
JacobKaimenyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of nairobi (bds)| (phd)university of mangalore (mds),,, (1952-07-10) 10 july 1952 (age 66)kenya colony,,5,,,,,,,,,,,,,,,,,,,,,kenyan,,,,,,,,,,tna[citation needed],professor| university of nairobi (1998-2013),,,dentist,,,,catholic[citation needed],nairobi,,,,,,,,,,,,,
JamesLau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of waterloo,,, (1950-04-24) april 24| 1950 (age 68),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JanJambon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1960-04-26) 26 april 1960 (age 58)genk| belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new flemish alliance,,,,,,,,,,,,,,,,,,,party website,,,
JawadAlArrayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cairo university leeds university,,,1940 (age 77–78),,,,,,,,,,,,,,,,,,,,,,,bahraini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean-ClaudeGaudin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1939-10-08) 8 october 1939 (age 79)marseille| france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,union for french democracy(1978-1998),,,,national centre of independents and peasants(1965-1973)independent republicans(1973-1977)republican party(1977-1997)union for french democracy(1997-2002)union for a popular movement(2002-2015)the republicans(2015-present),,,,,,,,,,,,,,,,,,,,,,
